epoch,train_loss,val_loss,val_accuracy
1,2.9283895905812583,2.253525389565362,0.0
2,2.2201482327779134,2.2574422964974055,0.0
3,2.2183165664672853,2.2471140528482105,0.0
4,2.214473094304403,2.2658285678379118,0.0
5,2.206844996770223,2.2408994530874584,0.0
6,2.1921269982655844,2.198499944474962,0.0
7,2.178015703837077,2.1976654529571533,0.0
8,2.168390889485677,2.177405629839216,0.0
9,2.161909127553304,2.1689138450319807,0.0
10,2.1562048778533938,2.162253701497638,0.0
11,2.1521576550801593,2.1580192020961215,0.0
12,2.1490215950012206,2.1542013599759056,0.0
13,2.1465456212361653,2.1518557260906888,0.0
14,2.1442050965627035,2.1508813396332758,0.0
15,2.1427113482157387,2.148912891509041,0.0
16,2.1395504875183105,2.1450422112903897,0.0
17,2.1372284247080486,2.1444156737554643,0.0
18,2.1341282030741375,2.1407817961677673,0.0
19,2.1294204018910725,2.13293290895129,0.0
20,2.1238692493438722,2.1273715533907454,0.0
21,2.1174730396270753,2.1196610208541626,0.0
22,2.1013005339304605,2.0526974068747625,0.0
23,2.004360297838847,2.0025091246953086,0.0
24,1.9878052053451538,1.9994726786537775,0.0
25,1.9845012683868408,1.997836116760496,0.0
26,1.9836128857930502,2.0004577807017734,0.0
27,1.9834555139541625,1.9980804522832234,0.0
28,1.9821742124557495,1.9981148716003176,0.0
29,1.9814263149897258,1.9966776881899153,0.0
30,1.9813265364964803,1.9985767905674283,0.0
31,1.9802068529129029,1.9982864137679812,0.0
32,1.978278299967448,1.9950633805895608,0.0
33,1.9741921704610188,1.9897000108446394,0.0
34,1.965723320643107,1.9706371644186595,0.0
35,1.9506972500483195,1.9407413024750968,0.0
36,1.918770721435547,1.8949418938349163,0.0
37,1.8831002305348714,1.8520192816143943,0.0
38,1.8554073006312053,1.8406247884508162,0.0
39,1.8240099789301554,1.799765049465119,0.0
40,1.792006275177002,1.815387175196693,0.0
41,1.7561182311375936,1.775206242288862,0.0
42,1.7160096569061278,1.6957611867359705,0.0
43,1.6689610223770142,1.717301122725956,0.0
44,1.613587521235148,1.5881366332372029,0.0
45,1.5580081253051759,1.5053285057582553,0.0005
46,1.4946700057983398,1.4851572097293915,0.0
47,1.4252019364039104,1.3302261110336062,0.0
48,1.3561977351506551,1.2690963423441326,0.001
49,1.2862265535990398,1.227647116259923,0.0015
50,1.2202643756866456,1.123144701359764,0.002
51,1.1554475932121278,1.066059034022074,0.002
52,1.0921075766881307,0.9666848059684511,0.005
53,1.0309231108029684,0.8596779940620302,0.0065
54,0.9722028528849284,0.8346437906462049,0.0055
55,0.9160724012056987,0.746899874437423,0.0105
56,0.859686913172404,0.671801091186584,0.0225
57,0.8087904753684998,0.6383431388272179,0.0245
